Form,Predicted Gender,True Gender,Class Probabilities,Set,Run
iv,f,f,"[('i', {'f': 0.6543446183204651, 'm': 0.3456554114818573}), ('v', {'f': 0.9973887801170349, 'm': 0.0026112226769328117})]",test,1
du,m,m,"[('d', {'f': 0.589947521686554, 'm': 0.41005241870880127}), ('u', {'f': 0.1107250452041626, 'm': 0.8892749547958374})]",test,1
1p,m,f,"[('1', {'f': 0.00013523935922421515, 'm': 0.9998646974563599}), ('p', {'f': 0.4456023871898651, 'm': 0.5543975830078125})]",test,1
2z,f,m,"[('2', {'f': 0.0030955192632973194, 'm': 0.9969044327735901}), ('z', {'f': 0.999110758304596, 'm': 0.000889189075678587})]",test,1
ɔm,m,m,"[('ɔ', {'f': 0.16369590163230896, 'm': 0.8363041281700134}), ('m', {'f': 0.011591263115406036, 'm': 0.9884087443351746})]",test,1
ʒu,m,f,"[('ʒ', {'f': 0.07741256058216095, 'm': 0.9225874543190002}), ('u', {'f': 0.1730518341064453, 'm': 0.8269482254981995})]",test,1
so,m,m,"[('s', {'f': 0.11441703140735626, 'm': 0.8855829834938049}), ('o', {'f': 0.004249976947903633, 'm': 0.9957499504089355})]",test,1
ʃɛ,m,m,"[('ʃ', {'f': 0.7218103408813477, 'm': 0.27818959951400757}), ('ɛ', {'f': 0.0003240726364310831, 'm': 0.999675989151001})]",test,1
ʁɛ,m,m,"[('ʁ', {'f': 0.08725543320178986, 'm': 0.9127445220947266}), ('ɛ', {'f': 0.3164183497428894, 'm': 0.6835816502571106})]",test,1
as,f,m,"[('a', {'f': 0.4590891897678375, 'm': 0.5409107804298401}), ('s', {'f': 0.7248662710189819, 'm': 0.2751336693763733})]",test,1
aʁ,m,m,"[('a', {'f': 0.4590891897678375, 'm': 0.5409107804298401}), ('ʁ', {'f': 0.004097327124327421, 'm': 0.9959027171134949})]",test,1
kɛ,m,m,"[('k', {'f': 0.363788902759552, 'm': 0.636211097240448}), ('ɛ', {'f': 0.0011958639370277524, 'm': 0.9988040924072266})]",test,1
kø,m,f,"[('k', {'f': 0.363788902759552, 'm': 0.636211097240448}), ('ø', {'f': 0.004588428884744644, 'm': 0.9954115748405457})]",test,1
ʁi,f,m,"[('ʁ', {'f': 0.08725543320178986, 'm': 0.9127445220947266}), ('i', {'f': 0.9657436609268188, 'm': 0.034256260842084885})]",test,1
t2,m,m,"[('t', {'f': 0.26077961921691895, 'm': 0.739220380783081}), ('2', {'f': 0.004212802741676569, 'm': 0.9957872033119202})]",test,1
ʃu,m,m,"[('ʃ', {'f': 0.7218103408813477, 'm': 0.27818959951400757}), ('u', {'f': 0.0018285103142261505, 'm': 0.9981714487075806})]",test,1
b3,m,m,"[('b', {'f': 0.1510113924741745, 'm': 0.8489886522293091}), ('3', {'f': 0.0016388156218454242, 'm': 0.9983611702919006})]",test,1
pi,f,f,"[('p', {'f': 0.5793262124061584, 'm': 0.42067378759384155}), ('i', {'f': 0.5771956443786621, 'm': 0.4228043854236603})]",test,1
bi,m,m,"[('b', {'f': 0.1510113924741745, 'm': 0.8489886522293091}), ('i', {'f': 0.13833115994930267, 'm': 0.8616688251495361})]",test,1
v3,m,m,"[('v', {'f': 0.9859427809715271, 'm': 0.01405720878392458}), ('3', {'f': 0.0024816698860377073, 'm': 0.9975183010101318})]",test,1
te,f,m,"[('t', {'f': 0.26077961921691895, 'm': 0.739220380783081}), ('e', {'f': 0.9684644937515259, 'm': 0.0315355509519577})]",test,1
bɛ,m,f,"[('b', {'f': 0.1510113924741745, 'm': 0.8489886522293091}), ('ɛ', {'f': 0.0032760873436927795, 'm': 0.9967239499092102})]",test,1
po,m,m,"[('p', {'f': 0.5793262124061584, 'm': 0.42067378759384155}), ('o', {'f': 0.07680972665548325, 'm': 0.9231902360916138})]",test,1
yp,m,f,"[('y', {'f': 0.10090326517820358, 'm': 0.8990967869758606}), ('p', {'f': 0.19383114576339722, 'm': 0.8061688542366028})]",test,1
ɥi,m,m,"[('ɥ', {'f': 0.7090160846710205, 'm': 0.2909839153289795}), ('i', {'f': 0.3367476761341095, 'm': 0.6632523536682129})]",test,1
iʁ,m,f,"[('i', {'f': 0.6543446183204651, 'm': 0.3456554114818573}), ('ʁ', {'f': 0.05854382365942001, 'm': 0.9414561986923218})]",test,1
vi,f,f,"[('v', {'f': 0.9859427809715271, 'm': 0.01405720878392458}), ('i', {'f': 0.540739119052887, 'm': 0.4592609107494354})]",test,1
lo,m,m,"[('l', {'f': 0.20968158543109894, 'm': 0.7903184294700623}), ('o', {'f': 0.01945304684340954, 'm': 0.9805470108985901})]",test,1
ɛn,f,f,"[('ɛ', {'f': 0.014626593329012394, 'm': 0.9853734374046326}), ('n', {'f': 0.7073405981063843, 'm': 0.2926594316959381})]",test,1
ʒy,m,m,"[('ʒ', {'f': 0.07741256058216095, 'm': 0.9225874543190002}), ('y', {'f': 0.06175056844949722, 'm': 0.9382494688034058})]",test,1
vø,m,m,"[('v', {'f': 0.9859427809715271, 'm': 0.01405720878392458}), ('ø', {'f': 0.001975049264729023, 'm': 0.9980249404907227})]",test,1
p2,m,m,"[('p', {'f': 0.5793262124061584, 'm': 0.42067378759384155}), ('2', {'f': 0.0012753955088555813, 'm': 0.998724639415741})]",test,1
ki,m,m,"[('k', {'f': 0.363788902759552, 'm': 0.636211097240448}), ('i', {'f': 0.015146192163228989, 'm': 0.9848538637161255})]",test,1
ʁy,m,f,"[('ʁ', {'f': 0.08725543320178986, 'm': 0.9127445220947266}), ('y', {'f': 0.25157594680786133, 'm': 0.7484240531921387})]",test,1
lø,m,m,"[('l', {'f': 0.20968158543109894, 'm': 0.7903184294700623}), ('ø', {'f': 0.0004339254810474813, 'm': 0.9995660185813904})]",test,1
Om,m,m,"[('O', {'f': 0.7880513668060303, 'm': 0.2119486778974533}), ('m', {'f': 0.0022205410059541464, 'm': 0.9977794289588928})]",test,1
uj,f,f,"[('u', {'f': 0.056515734642744064, 'm': 0.9434842467308044}), ('j', {'f': 0.9045616388320923, 'm': 0.09543833881616592})]",test,1
at,m,f,"[('a', {'f': 0.4590891897678375, 'm': 0.5409107804298401}), ('t', {'f': 0.2152436077594757, 'm': 0.7847564220428467})]",test,1
tu,m,m,"[('t', {'f': 0.26077961921691895, 'm': 0.739220380783081}), ('u', {'f': 0.09667143225669861, 'm': 0.903328537940979})]",test,1
mɛ,m,f,"[('m', {'f': 0.08804391324520111, 'm': 0.9119560718536377}), ('ɛ', {'f': 0.023972926661372185, 'm': 0.9760270714759827})]",test,1
dɛ,m,m,"[('d', {'f': 0.589947521686554, 'm': 0.41005241870880127}), ('ɛ', {'f': 0.002337583340704441, 'm': 0.9976624250411987})]",test,1
d3,m,m,"[('d', {'f': 0.589947521686554, 'm': 0.41005241870880127}), ('3', {'f': 0.016210664063692093, 'm': 0.9837892651557922})]",test,1
gɛ,m,m,"[('g', {'f': 0.5567188858985901, 'm': 0.4432811439037323}), ('ɛ', {'f': 0.003224816406145692, 'm': 0.996775209903717})]",test,1
aj,f,m,"[('a', {'f': 0.4590891897678375, 'm': 0.5409107804298401}), ('j', {'f': 0.669700562953949, 'm': 0.33029940724372864})]",test,1
ɲ2,m,m,"[('ɲ', {'f': 0.9408328533172607, 'm': 0.05916707217693329}), ('2', {'f': 0.14909039437770844, 'm': 0.8509095907211304})]",test,1
mu,m,f,"[('m', {'f': 0.08804391324520111, 'm': 0.9119560718536377}), ('u', {'f': 0.1975552886724472, 'm': 0.8024447560310364})]",test,1
ik,f,m,"[('i', {'f': 0.6543446183204651, 'm': 0.3456554114818573}), ('k', {'f': 0.5534237027168274, 'm': 0.4465763568878174})]",test,1
uʃ,m,f,"[('u', {'f': 0.056515734642744064, 'm': 0.9434842467308044}), ('ʃ', {'f': 0.34776267409324646, 'm': 0.6522372961044312})]",test,1
bu,m,m,"[('b', {'f': 0.1510113924741745, 'm': 0.8489886522293091}), ('u', {'f': 0.0335770919919014, 'm': 0.9664229154586792})]",test,1
s2,m,m,"[('s', {'f': 0.11441703140735626, 'm': 0.8855829834938049}), ('2', {'f': 0.05679415538907051, 'm': 0.9432058930397034})]",test,1
mu,m,m,"[('m', {'f': 0.08804391324520111, 'm': 0.9119560718536377}), ('u', {'f': 0.1975552886724472, 'm': 0.8024447560310364})]",test,1
giɲ,m,f,"[('g', {'f': 0.5567188858985901, 'm': 0.4432811439037323}), ('i', {'f': 0.03504813089966774, 'm': 0.9649518132209778}), ('ɲ', {'f': 0.4896189868450165, 'm': 0.5103809833526611})]",test,1
fɛʁ,f,m,"[('f', {'f': 0.03871070593595505, 'm': 0.9612892270088196}), ('ɛ', {'f': 0.005551485810428858, 'm': 0.9944485425949097}), ('ʁ', {'f': 0.559808075428009, 'm': 0.4401918947696686})]",test,1
1gl,m,m,"[('1', {'f': 0.00013523935922421515, 'm': 0.9998646974563599}), ('g', {'f': 0.2509436011314392, 'm': 0.749056339263916}), ('l', {'f': 0.02382477931678295, 'm': 0.9761752486228943})]",test,1
ful,m,f,"[('f', {'f': 0.03871070593595505, 'm': 0.9612892270088196}), ('u', {'f': 0.02044261433184147, 'm': 0.9795573949813843}), ('l', {'f': 0.4196862578392029, 'm': 0.5803137421607971})]",test,1
alo,m,m,"[('a', {'f': 0.4590891897678375, 'm': 0.5409107804298401}), ('l', {'f': 0.23264506459236145, 'm': 0.7673549652099609}), ('o', {'f': 0.03856012970209122, 'm': 0.961439847946167})]",test,1
ym3,m,m,"[('y', {'f': 0.10090326517820358, 'm': 0.8990967869758606}), ('m', {'f': 0.28300708532333374, 'm': 0.7169928550720215}), ('3', {'f': 0.016339944675564766, 'm': 0.983660101890564})]",test,1
tol,m,f,"[('t', {'f': 0.26077961921691895, 'm': 0.739220380783081}), ('o', {'f': 0.032884370535612106, 'm': 0.967115581035614}), ('l', {'f': 0.04610370472073555, 'm': 0.9538962841033936})]",test,1
guʒ,m,f,"[('g', {'f': 0.5567188858985901, 'm': 0.4432811439037323}), ('u', {'f': 0.002956963609904051, 'm': 0.9970430731773376}), ('ʒ', {'f': 0.2969524562358856, 'm': 0.7030475735664368})]",test,1
amo,m,m,"[('a', {'f': 0.4590891897678375, 'm': 0.5409107804298401}), ('m', {'f': 0.284976989030838, 'm': 0.7150229811668396}), ('o', {'f': 0.14946001768112183, 'm': 0.8505399823188782})]",test,1
giʃ,m,f,"[('g', {'f': 0.5567188858985901, 'm': 0.4432811439037323}), ('i', {'f': 0.03504813089966774, 'm': 0.9649518132209778}), ('ʃ', {'f': 0.45708319544792175, 'm': 0.5429167747497559})]",test,1
bœʁ,m,m,"[('b', {'f': 0.1510113924741745, 'm': 0.8489886522293091}), ('œ', {'f': 0.027595877647399902, 'm': 0.9724041819572449}), ('ʁ', {'f': 0.0007075539324432611, 'm': 0.9992923736572266})]",test,1
ʁiŋ,m,m,"[('ʁ', {'f': 0.08725543320178986, 'm': 0.9127445220947266}), ('i', {'f': 0.9657436609268188, 'm': 0.034256260842084885}), ('ŋ', {'f': 0.2832658588886261, 'm': 0.7167341113090515})]",test,1
Ot3,m,m,"[('O', {'f': 0.7880513668060303, 'm': 0.2119486778974533}), ('t', {'f': 0.05168205127120018, 'm': 0.9483179450035095}), ('3', {'f': 0.0027555907145142555, 'm': 0.9972444772720337})]",test,1
k2k,m,f,"[('k', {'f': 0.363788902759552, 'm': 0.636211097240448}), ('2', {'f': 0.0014021145179867744, 'm': 0.9985979199409485}), ('k', {'f': 0.1517837643623352, 'm': 0.84821617603302})]",test,1
kap,m,f,"[('k', {'f': 0.363788902759552, 'm': 0.636211097240448}), ('a', {'f': 0.3512507975101471, 'm': 0.6487491726875305}), ('p', {'f': 0.24370823800563812, 'm': 0.7562917470932007})]",test,1
ɲuf,m,m,"[('ɲ', {'f': 0.9408328533172607, 'm': 0.05916707217693329}), ('u', {'f': 0.15454593300819397, 'm': 0.8454540967941284}), ('f', {'f': 0.09953916817903519, 'm': 0.9004607796669006})]",test,1
fɛv,m,f,"[('f', {'f': 0.03871070593595505, 'm': 0.9612892270088196}), ('ɛ', {'f': 0.005551485810428858, 'm': 0.9944485425949097}), ('v', {'f': 0.23289865255355835, 'm': 0.7671014070510864})]",test,1
faf,m,m,"[('f', {'f': 0.03871070593595505, 'm': 0.9612892270088196}), ('a', {'f': 0.07616116851568222, 'm': 0.9238387942314148}), ('f', {'f': 0.3773752450942993, 'm': 0.6226247549057007})]",test,1
ʒig,f,f,"[('ʒ', {'f': 0.07741256058216095, 'm': 0.9225874543190002}), ('i', {'f': 0.8111797571182251, 'm': 0.1888202279806137}), ('g', {'f': 0.559364914894104, 'm': 0.440635085105896})]",test,1
bɔn,m,f,"[('b', {'f': 0.1510113924741745, 'm': 0.8489886522293091}), ('ɔ', {'f': 0.015807677060365677, 'm': 0.9841923713684082}), ('n', {'f': 0.2589414417743683, 'm': 0.7410585880279541})]",test,1
gɛn,f,f,"[('g', {'f': 0.5567188858985901, 'm': 0.4432811439037323}), ('ɛ', {'f': 0.003224816406145692, 'm': 0.996775209903717}), ('n', {'f': 0.6801843643188477, 'm': 0.31981560587882996})]",test,1
kl3,m,m,"[('k', {'f': 0.363788902759552, 'm': 0.636211097240448}), ('l', {'f': 0.057079896330833435, 'm': 0.9429201483726501}), ('3', {'f': 0.0028532815631479025, 'm': 0.9971466660499573})]",test,1
kɔd,m,m,"[('k', {'f': 0.363788902759552, 'm': 0.636211097240448}), ('ɔ', {'f': 0.009540276601910591, 'm': 0.9904597997665405}), ('d', {'f': 0.432390034198761, 'm': 0.567609965801239})]",test,1
tyn,f,f,"[('t', {'f': 0.26077961921691895, 'm': 0.739220380783081}), ('y', {'f': 0.07309634983539581, 'm': 0.9269036650657654}), ('n', {'f': 0.9489247798919678, 'm': 0.051075223833322525})]",test,1
lj1,m,m,"[('l', {'f': 0.20968158543109894, 'm': 0.7903184294700623}), ('j', {'f': 0.8189523816108704, 'm': 0.18104758858680725}), ('1', {'f': 0.000267866620561108, 'm': 0.9997320771217346})]",test,1
l3f,m,f,"[('l', {'f': 0.20968158543109894, 'm': 0.7903184294700623}), ('3', {'f': 0.0010382027830928564, 'm': 0.9989618062973022}), ('f', {'f': 0.2716704308986664, 'm': 0.728329598903656})]",test,1
pɔm,m,f,"[('p', {'f': 0.5793262124061584, 'm': 0.42067378759384155}), ('ɔ', {'f': 0.13007093966007233, 'm': 0.8699290752410889}), ('m', {'f': 0.02878962643444538, 'm': 0.9712103605270386})]",test,1
nwa,m,f,"[('n', {'f': 0.9224861264228821, 'm': 0.07751389592885971}), ('w', {'f': 0.04367829114198685, 'm': 0.956321656703949}), ('a', {'f': 0.009867437183856964, 'm': 0.9901325702667236})]",test,1
ʒoʒ,m,f,"[('ʒ', {'f': 0.07741256058216095, 'm': 0.9225874543190002}), ('o', {'f': 0.032164737582206726, 'm': 0.9678353071212769}), ('ʒ', {'f': 0.45532968640327454, 'm': 0.5446702837944031})]",test,1
k3t,f,f,"[('k', {'f': 0.363788902759552, 'm': 0.636211097240448}), ('3', {'f': 0.0045497664250433445, 'm': 0.9954501986503601}), ('t', {'f': 0.9085288643836975, 'm': 0.09147107601165771})]",test,1
abe,m,m,"[('a', {'f': 0.4590891897678375, 'm': 0.5409107804298401}), ('b', {'f': 0.057470306754112244, 'm': 0.9425296187400818}), ('e', {'f': 0.16499188542366028, 'm': 0.8350080847740173})]",test,1
pœf,m,m,"[('p', {'f': 0.5793262124061584, 'm': 0.42067378759384155}), ('œ', {'f': 0.16843251883983612, 'm': 0.8315674662590027}), ('f', {'f': 0.2049858719110489, 'm': 0.7950142025947571})]",test,1
lyt,f,m,"[('l', {'f': 0.20968158543109894, 'm': 0.7903184294700623}), ('y', {'f': 0.02045479789376259, 'm': 0.9795452356338501}), ('t', {'f': 0.8786417245864868, 'm': 0.12135829031467438})]",test,1
syd,m,m,"[('s', {'f': 0.11441703140735626, 'm': 0.8855829834938049}), ('y', {'f': 0.03641700744628906, 'm': 0.9635830521583557}), ('d', {'f': 0.48372218012809753, 'm': 0.5162779092788696})]",test,1
nɔm,m,m,"[('n', {'f': 0.9224861264228821, 'm': 0.07751389592885971}), ('ɔ', {'f': 0.022573193535208702, 'm': 0.9774267673492432}), ('m', {'f': 0.0042345901019871235, 'm': 0.9957654476165771})]",test,1
aks,m,m,"[('a', {'f': 0.4590891897678375, 'm': 0.5409107804298401}), ('k', {'f': 0.09900893270969391, 'm': 0.9009910821914673}), ('s', {'f': 0.0354766882956028, 'm': 0.9645233154296875})]",test,1
sak,m,m,"[('s', {'f': 0.11441703140735626, 'm': 0.8855829834938049}), ('a', {'f': 0.1397763192653656, 'm': 0.8602237105369568}), ('k', {'f': 0.04382829740643501, 'm': 0.9561716914176941})]",test,1
fly,m,m,"[('f', {'f': 0.03871070593595505, 'm': 0.9612892270088196}), ('l', {'f': 0.09988411515951157, 'm': 0.9001158475875854}), ('y', {'f': 0.008707053028047085, 'm': 0.9912928938865662})]",test,1
swa,m,f,"[('s', {'f': 0.11441703140735626, 'm': 0.8855829834938049}), ('w', {'f': 0.1849268227815628, 'm': 0.8150731325149536}), ('a', {'f': 0.0027822344563901424, 'm': 0.9972177743911743})]",test,1
njɛ,m,m,"[('n', {'f': 0.9224861264228821, 'm': 0.07751389592885971}), ('j', {'f': 0.9726899862289429, 'm': 0.02730993926525116}), ('ɛ', {'f': 0.0022081113420426846, 'm': 0.9977918863296509})]",test,1
aʁɲ,f,f,"[('a', {'f': 0.4590891897678375, 'm': 0.5409107804298401}), ('ʁ', {'f': 0.004097327124327421, 'm': 0.9959027171134949}), ('ɲ', {'f': 0.9775916337966919, 'm': 0.02240842953324318})]",test,1
t2t,f,f,"[('t', {'f': 0.26077961921691895, 'm': 0.739220380783081}), ('2', {'f': 0.004212802741676569, 'm': 0.9957872033119202}), ('t', {'f': 0.6699495911598206, 'm': 0.33005034923553467})]",test,1
sɛn,m,m,"[('s', {'f': 0.11441703140735626, 'm': 0.8855829834938049}), ('ɛ', {'f': 0.08021983504295349, 'm': 0.9197801947593689}), ('n', {'f': 0.48524174094200134, 'm': 0.514758288860321})]",test,1
aʁa,m,m,"[('a', {'f': 0.4590891897678375, 'm': 0.5409107804298401}), ('ʁ', {'f': 0.004097327124327421, 'm': 0.9959027171134949}), ('a', {'f': 0.15951485931873322, 'm': 0.8404850959777832})]",test,1
dɥo,m,m,"[('d', {'f': 0.589947521686554, 'm': 0.41005241870880127}), ('ɥ', {'f': 0.15196388959884644, 'm': 0.8480361104011536}), ('o', {'f': 0.10883832722902298, 'm': 0.8911616802215576})]",test,1
k2t,m,m,"[('k', {'f': 0.363788902759552, 'm': 0.636211097240448}), ('2', {'f': 0.0014021145179867744, 'm': 0.9985979199409485}), ('t', {'f': 0.04657492786645889, 'm': 0.9534249901771545})]",test,1
biz,f,f,"[('b', {'f': 0.1510113924741745, 'm': 0.8489886522293091}), ('i', {'f': 0.13833115994930267, 'm': 0.8616688251495361}), ('z', {'f': 0.8690505623817444, 'm': 0.13094939291477203})]",test,1
tif,m,m,"[('t', {'f': 0.26077961921691895, 'm': 0.739220380783081}), ('i', {'f': 0.32792356610298157, 'm': 0.672076404094696}), ('f', {'f': 0.0032267391216009855, 'm': 0.9967733025550842})]",test,1
b1g,m,m,"[('b', {'f': 0.1510113924741745, 'm': 0.8489886522293091}), ('1', {'f': 8.982979488791898e-05, 'm': 0.9999101161956787}), ('g', {'f': 0.10000718384981155, 'm': 0.899992823600769})]",test,1
din,f,m,"[('d', {'f': 0.589947521686554, 'm': 0.41005241870880127}), ('i', {'f': 0.1576218605041504, 'm': 0.8423781394958496}), ('n', {'f': 0.9482797384262085, 'm': 0.05172025039792061})]",test,1
t1p,m,f,"[('t', {'f': 0.26077961921691895, 'm': 0.739220380783081}), ('1', {'f': 0.000275647034868598, 'm': 0.9997243285179138}), ('p', {'f': 0.4721967279911041, 'm': 0.5278033018112183})]",test,1
kw3,m,m,"[('k', {'f': 0.363788902759552, 'm': 0.636211097240448}), ('w', {'f': 0.047417256981134415, 'm': 0.9525827169418335}), ('3', {'f': 0.0008635334088467062, 'm': 0.9991365075111389})]",test,1
vɔt,f,m,"[('v', {'f': 0.9859427809715271, 'm': 0.01405720878392458}), ('ɔ', {'f': 0.08000633120536804, 'm': 0.9199936389923096}), ('t', {'f': 0.9634993672370911, 'm': 0.03650064021348953})]",test,1
pɛz,f,m,"[('p', {'f': 0.5793262124061584, 'm': 0.42067378759384155}), ('ɛ', {'f': 0.019081193953752518, 'm': 0.980918824672699}), ('z', {'f': 0.9563551545143127, 'm': 0.04364484176039696})]",test,1
pal,m,f,"[('p', {'f': 0.5793262124061584, 'm': 0.42067378759384155}), ('a', {'f': 0.5444997549057007, 'm': 0.45550018548965454}), ('l', {'f': 0.21058785915374756, 'm': 0.7894120812416077})]",test,1
bɛʃ,f,f,"[('b', {'f': 0.1510113924741745, 'm': 0.8489886522293091}), ('ɛ', {'f': 0.0032760873436927795, 'm': 0.9967239499092102}), ('ʃ', {'f': 0.9098678827285767, 'm': 0.09013212472200394})]",test,1
biʃ,f,f,"[('b', {'f': 0.1510113924741745, 'm': 0.8489886522293091}), ('i', {'f': 0.13833115994930267, 'm': 0.8616688251495361}), ('ʃ', {'f': 0.7207877039909363, 'm': 0.2792123258113861})]",test,1
nɛt,f,m,"[('n', {'f': 0.9224861264228821, 'm': 0.07751389592885971}), ('ɛ', {'f': 0.010862641036510468, 'm': 0.9891373515129089}), ('t', {'f': 0.9975048899650574, 'm': 0.002495144261047244})]",test,1
ʒɥ3,m,m,"[('ʒ', {'f': 0.07741256058216095, 'm': 0.9225874543190002}), ('ɥ', {'f': 0.607782781124115, 'm': 0.3922172784805298}), ('3', {'f': 0.3565896451473236, 'm': 0.6434103846549988})]",test,1
1g2,m,m,"[('1', {'f': 0.00013523935922421515, 'm': 0.9998646974563599}), ('g', {'f': 0.2509436011314392, 'm': 0.749056339263916}), ('2', {'f': 0.0012684041867032647, 'm': 0.9987315535545349})]",test,1
ʃif,m,f,"[('ʃ', {'f': 0.7218103408813477, 'm': 0.27818959951400757}), ('i', {'f': 0.21279053390026093, 'm': 0.7872094511985779}), ('f', {'f': 0.0004601010587066412, 'm': 0.9995399713516235})]",test,1
ʃay,m,m,"[('ʃ', {'f': 0.7218103408813477, 'm': 0.27818959951400757}), ('a', {'f': 0.21627579629421234, 'm': 0.7837242484092712}), ('y', {'f': 0.02212110161781311, 'm': 0.9778789281845093})]",test,1
ʃom,m,m,"[('ʃ', {'f': 0.7218103408813477, 'm': 0.27818959951400757}), ('o', {'f': 0.0036439350806176662, 'm': 0.9963561296463013}), ('m', {'f': 0.009622577577829361, 'm': 0.9903774857521057})]",test,1
kʁ3,m,m,"[('k', {'f': 0.363788902759552, 'm': 0.636211097240448}), ('ʁ', {'f': 0.013613041490316391, 'm': 0.9863870143890381}), ('3', {'f': 0.002083968138322234, 'm': 0.997916042804718})]",test,1
dat,m,f,"[('d', {'f': 0.589947521686554, 'm': 0.41005241870880127}), ('a', {'f': 0.4524879455566406, 'm': 0.5475121140480042}), ('t', {'f': 0.25120076537132263, 'm': 0.7487992644309998})]",test,1
ʁym,f,m,"[('ʁ', {'f': 0.08725543320178986, 'm': 0.9127445220947266}), ('y', {'f': 0.25157594680786133, 'm': 0.7484240531921387}), ('m', {'f': 0.5294426083564758, 'm': 0.47055745124816895})]",test,1
kit,f,m,"[('k', {'f': 0.363788902759552, 'm': 0.636211097240448}), ('i', {'f': 0.015146192163228989, 'm': 0.9848538637161255}), ('t', {'f': 0.7572053074836731, 'm': 0.24279473721981049})]",test,1
flu,m,m,"[('f', {'f': 0.03871070593595505, 'm': 0.9612892270088196}), ('l', {'f': 0.09988411515951157, 'm': 0.9001158475875854}), ('u', {'f': 0.043994173407554626, 'm': 0.9560058116912842})]",test,1
1t1,m,m,"[('1', {'f': 0.00013523935922421515, 'm': 0.9998646974563599}), ('t', {'f': 0.9352396726608276, 'm': 0.06476029008626938}), ('1', {'f': 2.584035973995924e-05, 'm': 0.9999741315841675})]",test,1
byʃ,f,f,"[('b', {'f': 0.1510113924741745, 'm': 0.8489886522293091}), ('y', {'f': 0.037198301404714584, 'm': 0.9628016948699951}), ('ʃ', {'f': 0.7727280855178833, 'm': 0.22727183997631073})]",test,1
wat,f,f,"[('w', {'f': 0.5005144476890564, 'm': 0.4994855523109436}), ('a', {'f': 0.023341599851846695, 'm': 0.9766584038734436}), ('t', {'f': 0.6580764055252075, 'm': 0.3419235646724701})]",test,1
ʁif,m,m,"[('ʁ', {'f': 0.08725543320178986, 'm': 0.9127445220947266}), ('i', {'f': 0.9657436609268188, 'm': 0.034256260842084885}), ('f', {'f': 0.23391912877559662, 'm': 0.7660807967185974})]",test,1
m2d,f,m,"[('m', {'f': 0.08804391324520111, 'm': 0.9119560718536377}), ('2', {'f': 0.001275380258448422, 'm': 0.998724639415741}), ('d', {'f': 0.8412543535232544, 'm': 0.1587456464767456})]",test,1
laʁ,m,m,"[('l', {'f': 0.20968158543109894, 'm': 0.7903184294700623}), ('a', {'f': 0.3099530041217804, 'm': 0.6900469064712524}), ('ʁ', {'f': 0.0077542816288769245, 'm': 0.9922457337379456})]",test,1
fɔk,m,m,"[('f', {'f': 0.03871070593595505, 'm': 0.9612892270088196}), ('ɔ', {'f': 0.029157092794775963, 'm': 0.9708428978919983}), ('k', {'f': 0.2618032991886139, 'm': 0.7381966710090637})]",test,1
g1g,m,f,"[('g', {'f': 0.5567188858985901, 'm': 0.4432811439037323}), ('1', {'f': 2.943091567431111e-05, 'm': 0.999970555305481}), ('g', {'f': 0.34833309054374695, 'm': 0.6516668796539307})]",test,1
